TaxId;Name;LastName;BirthDate;JoinDate;Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
194563893;Abe;Stephan;1/24/1992 12:00:00 AM;3/1/2015 12:00:00 AM;2023;381;971;437;558;349;457;206;171;323;807;777;783
16469885;Nakesha;Keehne;7/29/1993 12:00:00 AM;10/22/2015 12:00:00 AM;2023;379;716;416;738;565;314;470;103;825;306;252;370
302303886;Marlin;Rosher;4/16/1990 12:00:00 AM;2/1/2021 12:00:00 AM;2023;810;956;255;316;668;358;376;153;508;550;961;189
779470066;Adaline;Ruise;3/15/2002 12:00:00 AM;5/27/2012 12:00:00 AM;2023;339;558;1328;179;202;198;238;125;672;188;980;385
53716382;Rosann;Antonich;6/22/1995 12:00:00 AM;9/23/2021 12:00:00 AM;2023;549;700;764;336;338;430;394;148;821;583;199;346
629374712;Edmundo;Diruzzo;6/11/1991 12:00:00 AM;10/18/2020 12:00:00 AM;2023;903;730;1211;931;685;481;448;103;545;986;368;249
967963107;Javier;Lambrecht;7/12/2003 12:00:00 AM;9/24/2014 12:00:00 AM;2023;718;182;731;366;403;498;221;140;334;614;1073;565
565943012;Lakendra;Pait;9/10/2001 12:00:00 AM;1/23/2013 12:00:00 AM;2023;367;580;372;264;495;238;291;101;512;406;1047;461
816758615;Tad;Brisker;8/5/1997 12:00:00 AM;2/17/2017 12:00:00 AM;2023;768;320;1304;240;449;186;117;104;709;140;625;715
569138525;Donnie;Rollo;5/7/2004 12:00:00 AM;11/20/2010 12:00:00 AM;2023;515;457;1073;723;192;483;124;133;199;735;938;514
746172865;Abbie;Ostermeyer;5/27/1997 12:00:00 AM;10/12/2011 12:00:00 AM;2023;751;723;960;165;601;222;230;166;832;264;707;587
616713010;Gale;Zeme;7/17/2003 12:00:00 AM;8/2/2016 12:00:00 AM;2023;713;768;997;948;440;163;244;124;833;994;530;607
219830126;Lou;Panzarino;11/18/1996 12:00:00 AM;10/11/2015 12:00:00 AM;2023;344;817;632;537;526;389;133;180;583;814;622;396
935519918;Fritz;Nichter;9/11/1993 12:00:00 AM;7/16/2017 12:00:00 AM;2023;249;851;1114;342;346;368;347;141;755;395;807;524
759482030;Heriberto;Luzinski;11/24/2001 12:00:00 AM;1/15/2013 12:00:00 AM;2023;431;922;1022;980;447;233;177;190;193;760;170;763
536539987;Rolando;Aderhold;3/24/1997 12:00:00 AM;9/10/2010 12:00:00 AM;2023;150;569;1219;840;223;405;469;105;216;404;156;340
407873170;Archie;Vonsoosten;11/2/1996 12:00:00 AM;2/3/2020 12:00:00 AM;2023;633;446;1254;444;575;333;297;143;994;691;1003;474
246622942;Vincenzo;Deliso;3/23/1996 12:00:00 AM;9/23/2011 12:00:00 AM;2023;548;672;1233;581;349;427;216;198;807;885;619;793
297035902;Dudley;Masood;3/24/1991 12:00:00 AM;10/21/2022 12:00:00 AM;2023;605;225;940;141;292;429;348;178;907;404;662;108
755308792;Sarah;Traub;11/15/1990 12:00:00 AM;10/23/2019 12:00:00 AM;2023;283;127;888;151;599;332;240;185;842;823;1085;626
413346779;Mack;Rivkin;9/1/1994 12:00:00 AM;1/3/2019 12:00:00 AM;2023;107;479;149;942;207;313;171;132;549;640;359;214
330821085;Vannessa;Threatt;11/26/2002 12:00:00 AM;9/26/2012 12:00:00 AM;2023;826;131;272;592;436;233;223;110;237;168;887;149
488645284;Shae;Loverde;10/2/2001 12:00:00 AM;3/17/2017 12:00:00 AM;2023;492;817;354;456;466;192;304;141;385;198;779;670
501880297;Donnie;Bogart;2/12/1999 12:00:00 AM;9/5/2014 12:00:00 AM;2023;147;653;755;984;210;327;107;193;406;501;782;763
670913002;Jacquelynn;Szuszkiewicz;5/1/1994 12:00:00 AM;3/1/2022 12:00:00 AM;2023;854;980;202;984;537;187;348;121;754;169;194;774
853733513;Elida;Nalevanko;4/23/2002 12:00:00 AM;3/9/2010 12:00:00 AM;2023;842;838;154;291;165;280;182;156;365;776;766;151
876369674;Judson;Gerstle;5/1/2000 12:00:00 AM;5/18/2016 12:00:00 AM;2023;911;188;158;345;157;434;393;153;853;740;607;163
674246627;Dalton;Betschart;8/19/2002 12:00:00 AM;7/23/2020 12:00:00 AM;2023;231;665;1395;583;462;235;304;107;496;120;484;502
644258346;Christoper;Derck;3/17/1998 12:00:00 AM;5/3/2020 12:00:00 AM;2023;826;463;149;532;547;145;438;181;976;798;568;344
455884780;Kanesha;Kegerries;8/24/1991 12:00:00 AM;9/7/2022 12:00:00 AM;2023;520;583;1231;682;659;292;363;156;644;671;536;544
862240393;Kirk;Aperges;2/23/1994 12:00:00 AM;4/10/2014 12:00:00 AM;2023;415;439;996;430;329;155;389;148;733;387;632;520
700436844;Veronika;Wenzell;7/11/2003 12:00:00 AM;1/17/2013 12:00:00 AM;2023;824;191;376;604;297;308;369;164;403;171;369;782
844001463;Rigoberto;Merendino;2/27/2001 12:00:00 AM;3/9/2011 12:00:00 AM;2023;417;443;115;377;184;183;225;108;263;565;523;254
738756236;Rufus;Busuttil;5/8/2003 12:00:00 AM;4/11/2021 12:00:00 AM;2023;908;399;1023;907;575;481;224;165;450;550;328;356
765407795;Garland;Ledebuhr;9/3/1999 12:00:00 AM;1/27/2015 12:00:00 AM;2023;894;869;212;651;679;355;294;127;927;695;244;396
669614057;Abel;Goldak;10/27/1997 12:00:00 AM;2/20/2011 12:00:00 AM;2023;969;666;182;770;214;416;409;150;571;791;716;149
843613388;Trinidad;Meads;7/26/1998 12:00:00 AM;1/21/2019 12:00:00 AM;2023;203;935;101;945;536;322;295;176;448;644;1052;426
671307739;Chelsey;Kitsmiller;3/6/1990 12:00:00 AM;1/6/2012 12:00:00 AM;2023;472;859;456;258;625;297;403;157;763;176;151;333
269729070;Ray;Grappe;9/4/2002 12:00:00 AM;7/6/2017 12:00:00 AM;2023;368;876;996;381;664;247;123;198;759;687;937;707
646230735;Charles;Yasutomi;7/17/1991 12:00:00 AM;1/1/2014 12:00:00 AM;2023;122;900;602;108;191;440;356;184;936;310;539;601
244562036;Errol;Salazar;11/19/1990 12:00:00 AM;1/27/2012 12:00:00 AM;2023;942;378;1385;498;645;443;207;186;157;322;440;734
810165096;Elvin;Biffle;11/29/1998 12:00:00 AM;5/12/2022 12:00:00 AM;2023;887;681;1118;928;441;152;233;170;556;492;775;304
489241793;Tad;Selander;8/17/1994 12:00:00 AM;5/14/2015 12:00:00 AM;2023;647;328;1281;110;699;393;196;159;675;402;419;709
603865825;Roderick;Lyke;8/17/1992 12:00:00 AM;6/20/2017 12:00:00 AM;2023;381;203;435;602;199;300;220;140;202;233;261;721
884744569;Dominga;Segerman;11/17/1993 12:00:00 AM;7/25/2022 12:00:00 AM;2023;857;330;1047;585;557;217;244;108;142;236;537;721
307484974;Sol;Zogby;9/4/1994 12:00:00 AM;11/9/2018 12:00:00 AM;2023;496;756;458;838;412;134;182;123;155;585;486;183
71054650;Ellis;Guillary;11/5/2004 12:00:00 AM;8/14/2017 12:00:00 AM;2023;727;278;269;444;479;329;266;186;373;172;708;552
206026180;Julian;Culpepper;9/18/1993 12:00:00 AM;4/11/2022 12:00:00 AM;2023;238;614;1156;578;672;370;227;168;354;637;690;256
522897227;Hong;Medious;1/25/1998 12:00:00 AM;2/10/2015 12:00:00 AM;2023;487;136;973;587;417;335;241;199;655;461;681;161
962807358;Jackie;Sogol;11/5/1994 12:00:00 AM;9/16/2022 12:00:00 AM;2023;887;827;596;170;238;123;247;116;412;636;860;209
855414;Newton;Postley;9/11/1998 12:00:00 AM;2/24/2011 12:00:00 AM;2023;606;927;1277;316;121;321;492;136;558;649;942;621
162768700;Dustin;Drexler;1/2/1996 12:00:00 AM;6/2/2016 12:00:00 AM;2023;895;779;1129;456;297;120;128;103;573;964;921;383
290990810;Mai;Delena;4/20/2002 12:00:00 AM;4/9/2021 12:00:00 AM;2023;550;593;1114;367;103;283;372;153;728;447;586;621
495500552;Columbus;Ellenberg;1/11/1995 12:00:00 AM;7/11/2013 12:00:00 AM;2023;878;359;628;492;335;391;404;172;723;238;261;721
641113490;Frankie;Vuono;6/21/1994 12:00:00 AM;1/6/2021 12:00:00 AM;2023;722;179;1113;986;687;148;347;145;218;265;837;502
240376972;Sherryl;Truchon;4/19/1991 12:00:00 AM;3/21/2012 12:00:00 AM;2023;527;228;152;238;514;227;323;171;772;469;188;677
758999630;Granville;Michael;6/15/2001 12:00:00 AM;9/20/2015 12:00:00 AM;2023;271;260;875;210;508;438;425;101;772;118;663;174
68709875;Maxwell;Sande;7/8/1995 12:00:00 AM;1/27/2014 12:00:00 AM;2023;864;859;604;247;424;143;485;135;262;667;898;499
